rowId,1,5,6,label
12,5.92433782,5.850059017,5.525591892,0
50,5.404407678,5.574871795,5.239324541,0
51,5.376287196,5.811228918,5.179495158,0
58,5.521693088,5.594568222,5.883648328,0
72,5.803963537,5.759455453,5.97930203,0
92,5.256417866,5.720062599,5.446311208,0
128,5.34634151,5.4195514,5.721023223,0
136,5.955240258,5.994124311,5.113936725,0
143,5.410897481,5.505652923,5.385811996,0
161,5.963358942,6.255805412,5.465000848,0
162,5.678531151,5.557426388,5.311890722,0
165,5.686649835,5.660410563,5.473920079,0
167,5.608834776,5.595693732,5.441699569,0
191,5.616925169,5.565304959,6.141215633,0
197,5.383479133,5.416737624,5.577735209,0
199,5.675750052,5.683483521,5.554612191,0
201,5.546076575,5.361587629,5.779994483,0
246,5.082836625,5.092027957,5.247528413,0
259,5.632039467,5.693050357,5.519264778,0
279,5.820284921,6.264246738,5.313468063,0
286,5.462221797,5.77802637,5.733706775,0
299,5.538912929,5.805038613,5.304271793,0
300,5.403003411,5.673916685,5.075406849,0
301,5.069576678,5.189384582,5.731648668,0
303,5.133964617,5.377344771,5.291981034,0
317,5.339093849,5.514657004,5.665892681,0
326,5.404183064,5.748200352,5.914139475,0
328,5.406711258,5.149428973,5.755311872,0
330,5.275015397,5.445438132,5.089649221,0
342,5.710134866,6.197278886,5.448131632,0
347,5.209026869,5.469073845,5.317669933,0
349,5.455479088,5.479766191,5.567994896,0
367,5.564252311,6.008755943,5.115936182,0
404,5.63465082,5.743135557,5.495868581,0
406,5.495931911,5.22258713,5.467395413,0
429,5.215740429,5.153368259,5.827297739,0
447,5.613244756,5.724001885,5.519264778,0
465,5.565853758,5.941788091,5.254019897,0
511,5.322126056,5.412798339,5.378480137,0
541,5.908774293,5.887763606,5.649788985,0
549,5.699656876,5.511280474,5.626558702,0
555,5.626477268,5.234967742,5.947421835,0
556,5.755673226,6.080225835,5.529377819,0
585,5.794243406,6.217538068,5.751140098,0
590,6.060472809,6.270437043,5.164859223,0
605,5.415784981,5.379595791,5.612600313,0
623,5.337688725,5.278862636,5.976819492,0
631,5.344403142,5.617078424,6.141494215,0
635,5.812109655,5.575997305,5.763629954,0
637,5.359094789,5.22146162,5.674007037,0
657,5.368843211,5.596256487,5.576250471,0
676,5.940350574,6.327838059,5.8321787,0
679,5.335132239,5.191635602,5.326744274,0
691,5.357241294,5.428555481,5.246512864,0
698,5.833936656,5.651406483,5.521391565,0
699,5.219926652,5.482579966,5.943885165,0
707,5.290297727,5.486519251,5.702513387,0
709,5.232230703,5.099906528,5.8360935,0
710,5.268469869,5.303623858,5.754324105,0
713,5.571893476,5.728503925,5.760685173,0
721,5.389771756,5.213583049,5.82823226,0
724,5.497561649,5.770147799,5.89546141,0
747,5.350724057,5.559677409,5.98139409,0
764,5.45061988,5.610325364,6.09545422,0
803,5.606531195,5.579373835,5.641687749,0
812,5.465255802,5.451065683,5.963794852,0
864,5.087527801,5.191072847,5.112026784,0
878,5.244534753,5.31825549,5.770836798,0
879,5.748480431,5.82586055,5.142176842,0
892,5.216892648,5.205141724,5.721360453,0
893,5.069857875,5.077396326,5.53925395,0
920,5.327491074,5.731880455,5.378605923,0
943,5.192508304,5.418988645,5.874116373,0
950,5.249198496,5.248473863,5.588137635,0
951,5.266868422,5.174190196,5.372244855,0
964,5.232679931,5.106096834,5.480710981,0
998,5.578635328,5.259166209,5.744785975,0
1008,5.832083161,5.705993723,5.563603961,0
1015,5.247091238,5.196137643,5.572425187,0
1084,5.103765169,5.144364178,5.425750211,0
1091,5.689430935,5.790969736,6.029256824,0
1106,5.957318367,5.942350846,5.801101838,0
1122,5.198548022,5.309251409,6.109074607,0
1126,5.315215315,5.479766191,5.24156631,0
1131,5.359797779,5.307000389,5.761443747,0
1133,5.283836215,5.306437634,5.460196286,0
1142,5.956195297,6.166890113,5.201348741,0
1202,5.676677656,5.316567225,5.712044572,0
1208,6.076512997,5.856249323,5.956178239,0
1224,5.479245315,6.155072257,5.504899707,0
1234,5.285015867,5.686860051,5.225739652,0
1250,5.316816762,5.635086586,5.631024491,0
1252,5.665074882,5.758892698,5.541249549,0
1277,5.488965446,5.592317202,5.514395394,0
1281,5.41907189,5.610888119,5.438457685,0
1297,5.336087278,5.492146802,5.712467459,0
1300,5.27060456,5.334575386,5.312869229,0
1383,5.658080983,5.588377916,5.544031504,0
1393,5.110254116,5.207955499,5.661005548,0
1440,5.533323296,5.649718217,5.531838749,0
1459,5.555178589,5.638463116,5.901797783,0
1555,5.140902792,5.180943256,6.006170076,0
1574,5.199222721,5.263668249,5.271751866,0
1588,5.178574516,5.460069764,5.287708168,0
1598,5.290072256,5.245097333,5.611584764,0
1624,5.29080268,5.492709557,5.644558448,0
3342,5.062610213,5.480891701,5.582345305,1
